id,value,unit,period,qualifier,excerpt,context,sources,locators
C062,4,billion USD,Expected sales during 2027 to 2029,strictly greater than; expected and not guaranteed,more than USD4B of expected sales during 2027 to 2029,"<!-- D10 -->
Modine received a USD165M customer deposit in March for more than USD4B of expected sales during 2027 to 2029. Those expected purchases are not guaranteed. Its April to June 2026 quarter also recorded production constraints, while Data Centers sales reached USD348.6M against USD183.7M a year earlier; guidance was reaffirmed. The constrained quarter preceded the funded customer's delivery window. It therefore does not establish a missed delivery to that customer. [Modine annual filing, customer agreement](https://www.sec.gov/Archives/edgar/data/67347/000110465926066795/mod-20260331x10k.htm); [quarterly operating results](https://investors.modine.com/news/news-details/2026/Modine-Reports-First-Quarter-Fiscal-2027-Results/default.aspx).",S09,S09: lines 728-729
C065,348.6,million USD,April to June 2026 (Modine fiscal Q1 2027),reported current-quarter sales,Data Centers sales reached USD348.6M,"<!-- D10 -->
Modine received a USD165M customer deposit in March for more than USD4B of expected sales during 2027 to 2029. Those expected purchases are not guaranteed. Its April to June 2026 quarter also recorded production constraints, while Data Centers sales reached USD348.6M against USD183.7M a year earlier; guidance was reaffirmed. The constrained quarter preceded the funded customer's delivery window. It therefore does not establish a missed delivery to that customer. [Modine annual filing, customer agreement](https://www.sec.gov/Archives/edgar/data/67347/000110465926066795/mod-20260331x10k.htm); [quarterly operating results](https://investors.modine.com/news/news-details/2026/Modine-Reports-First-Quarter-Fiscal-2027-Results/default.aspx).",S10,S10: lines 33-35
C066,183.7,million USD,April to June 2025 (prior-year comparison),reported prior-year comparison sales,USD183.7M a year earlier,"<!-- D10 -->
Modine received a USD165M customer deposit in March for more than USD4B of expected sales during 2027 to 2029. Those expected purchases are not guaranteed. Its April to June 2026 quarter also recorded production constraints, while Data Centers sales reached USD348.6M against USD183.7M a year earlier; guidance was reaffirmed. The constrained quarter preceded the funded customer's delivery window. It therefore does not establish a missed delivery to that customer. [Modine annual filing, customer agreement](https://www.sec.gov/Archives/edgar/data/67347/000110465926066795/mod-20260331x10k.htm); [quarterly operating results](https://investors.modine.com/news/news-details/2026/Modine-Reports-First-Quarter-Fiscal-2027-Results/default.aspx).",S10,S10: lines 33-35
C074,22,billion USD,June 2026 disclosure; future commitments generally through 2030,"expected deposits and related commitments, not confirmed receipts",USD22B of expected deposits and related commitments,"<!-- D12 -->
Micron's June disclosures describe take-or-pay supply agreements, generally running through 2030, and USD22B of expected deposits and related commitments, including about USD18B in cash deposits. Expected receipts are not confirmed cash received. Management describes deposits as financing cash flows, outside free cash flow, with later returns to customers. It links the agreements to supply assurance and pricing visibility, alongside memory supply pressure and HBM allocation demands. Full customer contracts and current receipt balances were not inspected. [Micron filing, supply agreements and risks](https://www.sec.gov/Archives/edgar/data/723125/000072312526000015/mu-20260528.htm); [prepared remarks, financing treatment](https://s25.q4cdn.com/621799436/files/doc_financials/2026/q3/Q3-FY26-Prepared-Remarks.pdf).",S21,S21: page 7
C075,18,billion USD,June 2026 disclosure; expected future cash receipts,"approximately; expected cash component, not confirmed receipts",about USD18B in cash deposits,"<!-- D12 -->
Micron's June disclosures describe take-or-pay supply agreements, generally running through 2030, and USD22B of expected deposits and related commitments, including about USD18B in cash deposits. Expected receipts are not confirmed cash received. Management describes deposits as financing cash flows, outside free cash flow, with later returns to customers. It links the agreements to supply assurance and pricing visibility, alongside memory supply pressure and HBM allocation demands. Full customer contracts and current receipt balances were not inspected. [Micron filing, supply agreements and risks](https://www.sec.gov/Archives/edgar/data/723125/000072312526000015/mu-20260528.htm); [prepared remarks, financing treatment](https://s25.q4cdn.com/621799436/files/doc_financials/2026/q3/Q3-FY26-Prepared-Remarks.pdf).",S21,S21: page 7
C089,2,announcements,Earlier 2024 announcement versus August 2026 announcement,"two announcements, not a causal sample","That is a comparison of two announcements, N=2, not an identified cause of delay.","<!-- D14 -->
Physical expansion has intermediate milestones. Lumentum's announced NVIDIA partnership is non-exclusive; its acquired North Carolina site is to ramp InP laser production in mid-2028. SK hynix's August Indiana announcement targets HBM mass production in the second half of 2029, compared with the second half of 2028 in the earlier official announcement. That is a comparison of two announcements, N=2, not an identified cause of delay. The stated Indiana process packages and tests wafers made in Korea. [Lumentum partnership](https://nvidianews.nvidia.com/news/nvidia-announces-strategic-partnership-with-lumentum-to-develop-state-of-the-art-optics-technology); [plant programme](https://investor.lumentum.com/financial-news-releases/news-details/2026/Lumentum-Announces-New-U-S--Manufacturing-Facility-to-Produce-Advanced-Lasers-for-the-Worlds-Largest-AI-Data-Centers/default.aspx); [SK hynix milestones](https://news.skhynix.com/en/groundbreaking-ceremony-in-indiana/); [historical official target](https://www.nist.gov/news-events/news/2024/08/us-department-commerce-announces-preliminary-terms-sk-hynix-advance-us-ai-0).",S14; S15,S14: lines 52-66; S15: lines 131-132
C_GE_OPEN_RES,56,GW,S16: Quarter ended 2026-06-30; later ramp targets,reported value at the stated precision; see source and context,Opening gas equipment slot reservation agreements,GE Vernova Q2 2026 Gas Power reservation balances and flows. Scope includes equipment beyond AI customers.,S16,"S16: Power activity, source-labelled lines 64 to 67 (filed results page 2); reservation balances 56 to 63 GW and backlog 44 to 53 GW"
C_GE_NEW_RES,18,GW,S16: Quarter ended 2026-06-30; later ramp targets,reported value at the stated precision; see source and context,New gas equipment slot reservation agreements,GE Vernova Q2 2026 Gas Power reservation balances and flows. Scope includes equipment beyond AI customers.,S16,"S16: Power activity, source-labelled lines 64 to 67 (filed results page 2); reservation balances 56 to 63 GW and backlog 44 to 53 GW"
C_GE_CONV_RES,10,GW,S16: Quarter ended 2026-06-30; later ramp targets,reported value at the stated precision; see source and context,Reservations converted to orders,GE Vernova Q2 2026 Gas Power reservation balances and flows. Scope includes equipment beyond AI customers.,S16,"S16: Power activity, source-labelled lines 64 to 67 (filed results page 2); reservation balances 56 to 63 GW and backlog 44 to 53 GW"
C_GE_CLOSE_RES,63,GW,S16: Quarter ended 2026-06-30; later ramp targets,reported value at the stated precision; see source and context,Closing gas equipment slot reservation agreements,GE Vernova Q2 2026 Gas Power reservation balances and flows. Scope includes equipment beyond AI customers.,S16,"S16: Power activity, source-labelled lines 64 to 67 (filed results page 2); reservation balances 56 to 63 GW and backlog 44 to 53 GW"
C_GE_DERIVED_RESIDUAL,1,GW,S16: Quarter ended 2026-06-30; later ramp targets,"derived unreconciled residual, not labelled cancellation",1GW unreconciled residual against the closing balance,"<!-- D15 -->
GE Vernova's second-quarter report separates new reservations, firm orders and shipments: 18GW of new reservations, 2GW of direct orders, 10GW converted from reservations to orders, and 3GW shipped. Firm backlog rose from 44GW to 53GW. The reported reservation movements leave a 1GW unreconciled residual against the closing balance; it is not labelled cancellation here. These records cover Gas Power equipment beyond AI customers. They do not establish an individual project's wait or energisation date. [GE Vernova filed results](https://www.sec.gov/Archives/edgar/data/1996810/000199681026000147/gevpressrelease2q26.htm).",S16,"S16: Power activity, source-labelled lines 64 to 67 (filed results page 2); reservation balances 56 to 63 GW and backlog 44 to 53 GW"
C091,18,GW,S16: Quarter ended 2026-06-30; later ramp targets,reported value at the stated precision; see source and context,18GW of new reservations,"<!-- D15 -->
GE Vernova's second-quarter report separates new reservations, firm orders and shipments: 18GW of new reservations, 2GW of direct orders, 10GW converted from reservations to orders, and 3GW shipped. Firm backlog rose from 44GW to 53GW. The reported reservation movements leave a 1GW unreconciled residual against the closing balance; it is not labelled cancellation here. These records cover Gas Power equipment beyond AI customers. They do not establish an individual project's wait or energisation date. [GE Vernova filed results](https://www.sec.gov/Archives/edgar/data/1996810/000199681026000147/gevpressrelease2q26.htm).",S16,"S16: Power activity, source-labelled lines 64 to 67 (filed results page 2); reservation balances 56 to 63 GW and backlog 44 to 53 GW"
C092,2,GW,S16: Quarter ended 2026-06-30; later ramp targets,reported value at the stated precision; see source and context,2GW of direct orders,"<!-- D15 -->
GE Vernova's second-quarter report separates new reservations, firm orders and shipments: 18GW of new reservations, 2GW of direct orders, 10GW converted from reservations to orders, and 3GW shipped. Firm backlog rose from 44GW to 53GW. The reported reservation movements leave a 1GW unreconciled residual against the closing balance; it is not labelled cancellation here. These records cover Gas Power equipment beyond AI customers. They do not establish an individual project's wait or energisation date. [GE Vernova filed results](https://www.sec.gov/Archives/edgar/data/1996810/000199681026000147/gevpressrelease2q26.htm).",S16,"S16: Power activity, source-labelled lines 64 to 67 (filed results page 2); reservation balances 56 to 63 GW and backlog 44 to 53 GW"
C093,10,GW,S16: Quarter ended 2026-06-30; later ramp targets,reported value at the stated precision; see source and context,10GW converted from reservations to orders,"<!-- D15 -->
GE Vernova's second-quarter report separates new reservations, firm orders and shipments: 18GW of new reservations, 2GW of direct orders, 10GW converted from reservations to orders, and 3GW shipped. Firm backlog rose from 44GW to 53GW. The reported reservation movements leave a 1GW unreconciled residual against the closing balance; it is not labelled cancellation here. These records cover Gas Power equipment beyond AI customers. They do not establish an individual project's wait or energisation date. [GE Vernova filed results](https://www.sec.gov/Archives/edgar/data/1996810/000199681026000147/gevpressrelease2q26.htm).",S16,"S16: Power activity, source-labelled lines 64 to 67 (filed results page 2); reservation balances 56 to 63 GW and backlog 44 to 53 GW"
C094,3,GW,S16: Quarter ended 2026-06-30; later ramp targets,reported value at the stated precision; see source and context,3GW shipped,"<!-- D15 -->
GE Vernova's second-quarter report separates new reservations, firm orders and shipments: 18GW of new reservations, 2GW of direct orders, 10GW converted from reservations to orders, and 3GW shipped. Firm backlog rose from 44GW to 53GW. The reported reservation movements leave a 1GW unreconciled residual against the closing balance; it is not labelled cancellation here. These records cover Gas Power equipment beyond AI customers. They do not establish an individual project's wait or energisation date. [GE Vernova filed results](https://www.sec.gov/Archives/edgar/data/1996810/000199681026000147/gevpressrelease2q26.htm).",S16,"S16: Power activity, source-labelled lines 64 to 67 (filed results page 2); reservation balances 56 to 63 GW and backlog 44 to 53 GW"
C095,44,GW,S16: Quarter ended 2026-06-30; later ramp targets,reported value at the stated precision; see source and context,Firm backlog rose from 44GW,"<!-- D15 -->
GE Vernova's second-quarter report separates new reservations, firm orders and shipments: 18GW of new reservations, 2GW of direct orders, 10GW converted from reservations to orders, and 3GW shipped. Firm backlog rose from 44GW to 53GW. The reported reservation movements leave a 1GW unreconciled residual against the closing balance; it is not labelled cancellation here. These records cover Gas Power equipment beyond AI customers. They do not establish an individual project's wait or energisation date. [GE Vernova filed results](https://www.sec.gov/Archives/edgar/data/1996810/000199681026000147/gevpressrelease2q26.htm).",S16,"S16: Power activity, source-labelled lines 64 to 67 (filed results page 2); reservation balances 56 to 63 GW and backlog 44 to 53 GW"
C096,53,GW,S16: Quarter ended 2026-06-30; later ramp targets,reported value at the stated precision; see source and context,to 53GW,"<!-- D15 -->
GE Vernova's second-quarter report separates new reservations, firm orders and shipments: 18GW of new reservations, 2GW of direct orders, 10GW converted from reservations to orders, and 3GW shipped. Firm backlog rose from 44GW to 53GW. The reported reservation movements leave a 1GW unreconciled residual against the closing balance; it is not labelled cancellation here. These records cover Gas Power equipment beyond AI customers. They do not establish an individual project's wait or energisation date. [GE Vernova filed results](https://www.sec.gov/Archives/edgar/data/1996810/000199681026000147/gevpressrelease2q26.htm).",S16,"S16: Power activity, source-labelled lines 64 to 67 (filed results page 2); reservation balances 56 to 63 GW and backlog 44 to 53 GW"
C100,16.7,billion USD,S18: Quarter ended 2026-08-02,reported value at the stated precision; see source and context,Broadcom reports USD16.7B in quarterly AI semiconductor revenue,"<!-- D16 -->
The record also includes commercial output. Broadcom reports USD16.7B in quarterly AI semiconductor revenue, combining custom accelerators and networking. That combined amount does not measure displaced NVIDIA GPUs. Epoch's Abilene directory supports partial operation using company records, imagery and engineering assumptions; it is not a meter of current workload utilisation.",S18,S18: PDF page 1
C106,1,MVA,Applications received on or after 12 December 2025; May 2026 process,at least; new transmission applications within stated date scope,new transmission-system applications of at least 1 MVA,"<!-- D17 -->
Ireland provides a concrete continuing obligation. EirGrid's May process implements the regulator's policy for new transmission-system applications of at least 1 MVA received on or after 12 December 2025. Under that process, nominated generation must remain operational and meet the specified relationship between de-rated export capacity and the datacentre's maximum import capacity. If that generation fails or is withdrawn, a credible plan for immediate replacement is required; otherwise import capacity may be reduced or disconnected. Continuing renewable compliance is also required. The regulator's wider policy differentiates requirements by project size. The May document records pending judicial review proceedings concerning the underlying policy and warns that their outcome could change the process. Their subsequent outcome is unverified here. These are inspected process provisions, not verified outcomes for a particular customer's agreement. [EirGrid process, PDF pages 3 to 5 and 8](https://cms.eirgrid.ie/sites/default/files/publications/Data-Centre-Connection-Offer-Process-and-Policy-V3-May-2026.pdf#page=4); [CRU decision, size-dependent requirements](https://cruie-live-96ca64acab2247eca8a850a7e54b-5b34f62.divio-media.com/documents/CRU2025236_Large_Energy_User_connection_policy_decision_paper.pdf).",EU04; EU05,EU04: pages 42-48; EU05: page 4
C118,6831.3,MW UCAP,S24: Proposed procurement for the 2028/29 resource adequacy shortfall; January policy origin,"initial target, subject to reductions","initial target of 6,831.3MW UCAP, subject to qualifying reductions","<!-- D19 -->
PJM's US proposals have a different status. Its January policy direction preceded the later auction shortfall. The July Reliability Backstop Procurement filing used an initial target of 6,831.3MW UCAP, subject to qualifying reductions. Its proposed USD555/MW-day UCAP limit applies to the MW-weighted average levelised procurement cost, not every offer. The separate August Interim Resource Adequacy Service proposal drew a Market Monitor protest. The inspected September backstop answer still requested acceptance; final Commission disposition is unverified. These records cannot be presented as an adopted universal connection restriction. [July filing](https://www.pjm.com/pjmfiles/directory/etariff/FercDockets/9806/20260731-er26-3380-000.pdf); [Monitor protest](https://www.monitoringanalytics.com/filings/2026/IMM_Protest_Docket_No_ER26-3515_20260903.pdf); [September answer](https://www.pjm.com/-/media/DotCom/documents/ferc/filings/2026/20260910-er26-3380-000.pdf).",S24,S24: pages 31-32
C119,555,USD/MW-day UCAP,S24: Proposed procurement for the 2028/29 resource adequacy shortfall; January policy origin,"proposed limit on weighted average levelised cost, not individual offers","proposed USD555/MW-day UCAP limit applies to the MW-weighted average levelised procurement cost, not every offer","<!-- D19 -->
PJM's US proposals have a different status. Its January policy direction preceded the later auction shortfall. The July Reliability Backstop Procurement filing used an initial target of 6,831.3MW UCAP, subject to qualifying reductions. Its proposed USD555/MW-day UCAP limit applies to the MW-weighted average levelised procurement cost, not every offer. The separate August Interim Resource Adequacy Service proposal drew a Market Monitor protest. The inspected September backstop answer still requested acceptance; final Commission disposition is unverified. These records cannot be presented as an adopted universal connection restriction. [July filing](https://www.pjm.com/pjmfiles/directory/etariff/FercDockets/9806/20260731-er26-3380-000.pdf); [Monitor protest](https://www.monitoringanalytics.com/filings/2026/IMM_Protest_Docket_No_ER26-3515_20260903.pdf); [September answer](https://www.pjm.com/-/media/DotCom/documents/ferc/filings/2026/20260910-er26-3380-000.pdf).",S24,S24: pages 61-62
C140,3,sites,April 2026 announcement; future planned deployment,reported value at the stated precision; see source and context,deployment across three existing UK sites,"<!-- D24 -->
BT and Nscale's April announcement plans deployment across three existing UK sites using NVIDIA infrastructure. The inspected record does not establish operating acceptance. In Portugal, Nscale's May Sines expansion announcement identifies EUR230M for shared infrastructure and EUR465M for a second 200MW building, linked to later deployment for Microsoft. Announced investment is not paid expenditure, and building capacity is not measured IT utilisation. Nscale's US loan facilities are not assigned to either European programme. [BT partnership](https://newsroom.bt.com/bt-to-work-with-nscale-to-accelerate-uk-sovereign-ai-capability-powered-by-nvidia/); [Sines expansion](https://www.nscale.com/press-releases/nscale-start-campus).",EU01,EU01: opening paragraphs
C142,230,million EUR,May 2026 announcement; future investment,"announced investment, not paid expenditure",EUR230M for shared infrastructure,"<!-- D24 -->
BT and Nscale's April announcement plans deployment across three existing UK sites using NVIDIA infrastructure. The inspected record does not establish operating acceptance. In Portugal, Nscale's May Sines expansion announcement identifies EUR230M for shared infrastructure and EUR465M for a second 200MW building, linked to later deployment for Microsoft. Announced investment is not paid expenditure, and building capacity is not measured IT utilisation. Nscale's US loan facilities are not assigned to either European programme. [BT partnership](https://newsroom.bt.com/bt-to-work-with-nscale-to-accelerate-uk-sovereign-ai-capability-powered-by-nvidia/); [Sines expansion](https://www.nscale.com/press-releases/nscale-start-campus).",EU11,EU11: lines 81-87
C143,465,million EUR,May 2026 announcement; future investment,"announced investment, not paid expenditure",EUR465M for a second,"<!-- D24 -->
BT and Nscale's April announcement plans deployment across three existing UK sites using NVIDIA infrastructure. The inspected record does not establish operating acceptance. In Portugal, Nscale's May Sines expansion announcement identifies EUR230M for shared infrastructure and EUR465M for a second 200MW building, linked to later deployment for Microsoft. Announced investment is not paid expenditure, and building capacity is not measured IT utilisation. Nscale's US loan facilities are not assigned to either European programme. [BT partnership](https://newsroom.bt.com/bt-to-work-with-nscale-to-accelerate-uk-sovereign-ai-capability-powered-by-nvidia/); [Sines expansion](https://www.nscale.com/press-releases/nscale-start-campus).",EU11,EU11: lines 81-87
C144,200,MW,May 2026 announcement; planned building capacity,"building capacity, not IT utilisation",second 200MW building,"<!-- D24 -->
BT and Nscale's April announcement plans deployment across three existing UK sites using NVIDIA infrastructure. The inspected record does not establish operating acceptance. In Portugal, Nscale's May Sines expansion announcement identifies EUR230M for shared infrastructure and EUR465M for a second 200MW building, linked to later deployment for Microsoft. Announced investment is not paid expenditure, and building capacity is not measured IT utilisation. Nscale's US loan facilities are not assigned to either European programme. [BT partnership](https://newsroom.bt.com/bt-to-work-with-nscale-to-accelerate-uk-sovereign-ai-capability-powered-by-nvidia/); [Sines expansion](https://www.nscale.com/press-releases/nscale-start-campus).",EU11,EU11: lines 81-87
C148,3,billion EUR,September 2026 financing announcement,"company-reported equity financing, not all assigned to infrastructure",EUR3B Series D,"<!-- D25 -->
Mistral reports a EUR3B Series D led by Samsung in September. It separately describes European Compute Units that exchange multi-year customer commitments for infrastructure access. The inspected material does not assign all equity proceeds to infrastructure or disclose the complete customer contract. Mistral reports regional inference endpoints available, while retaining specified exceptions for safeguarded subprocessor transfers outside the region. The operating endpoint and the proposed capacity expansion are different claims. [Financing statement](https://mistral.ai/news/mistral-makes-sovereign-open-weight-ai-to-frontier/); [regional services and compute commitments](https://mistral.ai/news/regional-inference-open-models-new-compute/).",EU09,EU09: lines 78-90
